user_id,date,session_id,revenue
1,9/1/2024,1001,0
1,9/2/2024,1002,5
2,9/3/2024,1003,0
3,9/4/2024,1004,17
4,9/5/2024,1005,45
5,9/6/2024,1006,24
6,9/7/2024,1007,26
7,9/8/2024,1008,46
8,9/9/2024,1009,14
9,9/10/2024,1010,23
9,9/11/2024,1011,27
9,9/12/2024,1012,37
10,9/13/2024,1013,41
11,9/14/2024,1014,19
12,9/15/2024,1015,5
13,9/16/2024,1016,28
14,9/17/2024,1017,13
15,9/18/2024,1018,44
15,9/19/2024,1019,7
16,9/20/2024,1020,3
17,9/21/2024,1021,0
18,9/22/2024,1022,7
19,9/23/2024,1023,4
20,9/24/2024,1024,33
21,9/25/2024,1025,28
22,9/26/2024,1026,33
23,9/27/2024,1027,38
24,9/28/2024,1028,38
25,9/29/2024,1029,14
